fips,year,s02
8105,2007,1.2532469
8105,2012,.95124793
8107,1997,2.6611223
8107,2002,3.4978433
8107,2007,1.3436042
8107,2012,.80004883
8109,1997,3.3790538
8109,2002,2.3145478
8109,2007,1.418882
8109,2012,.8035326
8111,1997,4.4739184
8111,2002,1.8080424
8111,2007,1.0806488
8111,2012,.72518682
8113,1997,5.9006791
8113,2002,1.4878607
8113,2007,.81066561
8113,2012,.45106447
8115,1997,2.7814746
8115,2002,3.4732332
8115,2007,2.6362038
8115,2012,1.1010478
8117,1997,2.6948965
8117,2002,3.5246251
8117,2007,2.1019909
8117,2012,1.1012777
8119,1997,1.8938003
8119,2002,3.5198972
8119,2007,2.6362038
8119,2012,1.2401863
8121,1997,2.5529208
8121,2002,3.4660711
8121,2007,2.6362038
8121,2012,1.0025728
8123,1997,3.1595259
8123,2002,3.4388893
8123,2007,2.2380168
8123,2012,1.2290965
8125,1997,2.4743965
8125,2002,2.7966957
8125,2007,2.1687975
8125,2012,1.0499253
9001,1997,5.7624092
9001,2002,4.5759525
9001,2007,3.5336039
9001,2012,1.1715577
9003,1997,4.9948082
9003,2002,4.2166629
9003,2007,3.0248463
9003,2012,1.0920861
9005,1997,5.4302225
9005,2002,4.4200325
9005,2007,3.0332105
9005,2012,1.0283151
9007,1997,5.4337845
9007,2002,4.5056324
9007,2007,3.5087035
9007,2012,1.2157035
9009,1997,5.5171299
9009,2002,4.5584316
9009,2007,3.4930499
9009,2012,1.179728
9011,1997,5.2460074
9011,2002,4.4753947
9011,2007,3.5663137
9011,2012,1.2952861
9013,1997,4.9741015
9013,2002,4.2736821
9013,2007,3.3147867
9013,2012,1.251621
9015,1997,5.1071615
9015,2002,4.2882581
9015,2007,3.5082307
9015,2012,1.3481038
10001,1997,7.1153884
10001,2002,5.0515003
10001,2007,4.2749481
10001,2012,1.1260767
10003,1997,7.6602893
10003,2002,4.8684416
10003,2007,4.3064904
10003,2012,1.0703895
10005,1997,6.9228892
10005,2002,5.1404877
10005,2007,4.3330426
10005,2012,1.0333577
11001,1997,7.2632232
11001,2002,5.9165487
11001,2007,4.562933
11001,2012,1.5040532
12001,1997,2.9072111
12001,2002,2.7958
12001,2007,1.5122935
12001,2012,.58948696
12003,1997,2.6387095
12003,2002,2.7793462
12003,2007,1.5628141
12003,2012,.61803049
12005,1997,3.8890228
12005,2002,2.2595339
12005,2007,2.1386545
12005,2012,1.0989214
12007,1997,2.6675138
12007,2002,2.6808789
12007,2007,1.4838531
12007,2012,.54898381
12009,1997,3.1915069
12009,2002,2.7099462
12009,2007,1.1198349
12009,2012,.44205096
